Zeit  1 - Schnelle Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
8,58333374101979E-02	-1,98125002202687E-03	0,676719184964895	0,449946266599	
8,62500040966552E-02	-3,72916670812629E-03	0,608327352441847	0,399552284739912	
8,66666707831125E-02	-4,33750004822286E-03	0,183578076772392	7,19914026558399E-03	
8,70833374695697E-02	-3,3375000371052E-03	-0,021597420796752	-0,298764321021736	
0,087500004156027	-1,70833335232601E-03	-0,381554434075952	-0,723513596691191	
8,79166708424843E-02	-6,2916667366153E-04	-0,773907578550279	-1,20225642435253	
8,83333375289415E-02	-4,41666671576968E-04	-0,334760022349656	-0,943087374791503	
8,87500042153988E-02	-8,45833342737023E-04	0,766708438284695	5,39935519918799E-02	
8,91666709018561E-02	-9,416666771358E-04	1,61260741949081	0,943087374791503	
8,95833375883133E-02	-7,8333334204217E-04	1,81418334692717	1,25624997634441	
9,00000042747706E-02	-3,47916670534687E-04	1,77098850533366	1,40383235178888	
9,04166709612279E-02	-2,16666669075494E-04	1,84657947812229	1,63420484028757	
9,08333376476852E-02	-4,22916671368512E-04	1,78538678586483	1,62340612988919	
9,12500043341424E-02	2,00000002223533E-04	1,29584524780512	1,09786889050156	
9,16666710205997E-02	1,12291667915088E-03	0,421149705536664	0,259169049561024	
0,092083337707057	1,10625001229891E-03	-0,201575927436352	-0,37795486394316	
9,25000043935142E-02	2,04166668936523E-04	-0,165580226108432	-0,496740678325295	
9,29166710799715E-02	-6,79166674217413E-04	0,165580226108432	-0,334760022349656	
9,33333377664288E-02	-7,43750008268762E-04	0,374355293810368	-0,158381085842848	
9,37500044528861E-02	1,6250000180662E-04	0,205175497569144	-0,367156153544784	
9,41666711393433E-02	1,09583334551644E-03	-0,176378936506808	-0,885494252666831	
9,45833378258006E-02	8,33333342598053E-04	-0,565132510848343	-1,2598495464772	
9,50000045122579E-02	-1,04583334496056E-03	-0,795504999347031	-1,18785814382136	
9,54166711987152E-02	-3,29166670326231E-03	-0,748710587620735	-0,853098121471703	
9,58333378851724E-02	-3,78541670875165E-03	-0,363556583411992	-0,410350995138288	
9,62500045716297E-02	-2,68125002980923E-03	0,12598495464772	-0,039595271460712	
0,096666671258087	-1,12291667915088E-03	0,464344547130167	6,83918325230479E-02	
9,70833379445442E-02	-6,10416673453074E-04	0,442747126333416	-0,176378936506808	
9,75000046310015E-02	-9,43750010492295E-04	0,259169049561024	-0,338359592482448	
9,79166713174588E-02	-1,12500001250737E-03	0,028796561062336	-0,3599570132792	
0,098333338003916	-8,89583343223421E-04	-0,302363891154528	-0,691117465496063	
9,87500046903733E-02	-9,77083344196217E-04	-0,719914026558399	-1,2130551347509	
9,91666713768306E-02	-1,85833335399366E-03	-1,11586674116552	-1,49022203497589	
9,95833380632879E-02	-2,56250002848901E-03	-1,18425857368857	-1,47222418431193	
0,100000004749745	-2,60000002890592E-03	-0,853098121471703	-1,24545126594603	
0,100416671436202	-2,10416669006008E-03	-0,43194841593504	-0,953886085189879	
0,10083333812266	-1,40416668227772E-03	-0,2699677599594	-0,788305859081447	
0,101250004809117	-1,97500002195738E-03	-0,39595271460712	-0,709115316160023	
0,101666671495574	-2,8229166980509E-03	-0,428348845802248	-0,543535090051591	
0,102083338182031	-2,71458336351316E-03	-0,331160452216864	-0,34195916261524	
0,102500004868489	-2,21666669131082E-03	-0,37795486394316	-0,280766470357776	
0,102916671554946	-2,13333335705101E-03	-0,2699677599594	-0,122385384514928	
0,103333338241403	-2,37500002640445E-03	-7,19914026558399E-02	-9,35888234525919E-02	
0,103750004927861	-2,74166669714759E-03	0,21597420796752	-0,140383235178888	
0,104166671614318	-3,08541670096929E-03	0,482342397794127	-8,27901130542159E-02	
0,104583338300775	-3,11041670124723E-03	0,633524343371391	0,122385384514928	
0,105000004987232	-2,03750002265224E-03	0,759509298019111	0,345558732748032	
0,10541667167369	-3,43750003821697E-04	0,795504999347031	0,439147556200624	
0,105833338360147	6,97916674425869E-04	0,673119614832103	0,313162601552904	
0,106250005046604	8,04166675607121E-04	0,284366040490568	-5,75931221246719E-02	
0,106666671733061	3,54166670604172E-04	-0,237571628764272	-0,421149705536664	
0,107083338419519	-3,31250003682726E-04	-0,370755723677576	-0,363556583411992	
0,107500005105976	-8,31250009241558E-04	-0,338359592482448	-0,30596346128732	
0,107916671792433	-1,03541667817808E-03	-0,172779366374016	-0,352757873013616	
0,108333338478891	-1,60625001785775E-03	0,248370339162648	-0,1799785066396	
0,108750005165348	-1,84583335385469E-03	0,680318755097687	0,298764321021736	
0,109166671851805	-1,34375001493936E-03	1,1230658814311	0,853098121471703	
0,109583338538262	-1,42083334912968E-03	1,43262891285121	1,12666545156389	
0,11000000522472	-2,15000002390298E-03	1,66660097148269	1,34623922966421	
0,110416671911177	-2,38958335989992E-03	1,74939108453691	1,36063751019537	
